N_EXPEDIENT,DISTRICTE,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,LONGITUD_X,LATITUD_Y
03-2009-0305,SANTS-MONTJUÏC,Sants,CARRER,FERNANDEZ DURO,1,3,,,,,,,PR,1,2.135493334,41.37450285
02-2009-0289,L'EIXAMPLE,el Fort Pienc,AVINGUDA,DIAGONAL,1,245,,,,,,,2,1,2.180932278,41.40165436
02-2009-0290,L'EIXAMPLE,el Fort Pienc,AVINGUDA,DIAGONAL,1,245,,,,,,,2,2,2.180932278,41.40165436
02-2009-0291,L'EIXAMPLE,el Fort Pienc,AVINGUDA,DIAGONAL,1,245,,,,,,,4,1,2.180932278,41.40165436
03-2009-0262,SANTS-MONTJUÏC,el Poble Sec,CARRER,OLIVERA,1,35,,,,,,,1,1,2.157035508,41.37359066
07-2010-0127,HORTA-GUINARDÓ,Horta,CARRER,HORTA,1,7,,,,,,,BJ,,2.162643063,41.43057747
02-2009-0354,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,GRAN VIA,CORTS CATALANES,1,561,,,,,,D,PR,A,2.161025656,41.38430624
02-2009-0355,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,GRAN VIA,CORTS CATALANES,1,561,,,,,,D,PR,B,2.161025656,41.38430624
06-2009-0062,GRACIA,el Camp d'en Grassot i Gràcia Nova,CARRER,VENTALLO,2,12,,,,,,,1,,2.166269441,41.40736416
06-2009-0063,GRACIA,el Camp d'en Grassot i Gràcia Nova,CARRER,VENTALLO,2,12,,,,,,,2,,2.166269441,41.40736416
06-2013-0326,GRACIA,el Camp d'en Grassot i Gràcia Nova,CARRER,ROGER DE FLOR,1,241,,,,,,,2,3,2.167231873,41.40277427
02-2009-0467,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,VALENCIA,2,366,,,,,,,PR,2,2.170564036,41.39801108
02-2009-0390,L'EIXAMPLE,la Sagrada Família,AVINGUDA,GAUDI,2,66,,,,,,,1,1,2.174512241,41.41022927
02-2009-0488,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,CONSELL DE CENT,2,302,,,,,,,1,2A,2.165122789,41.39052004
02-2009-0489,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,CONSELL DE CENT,2,302,,,,,,,1,2B,2.165122789,41.39052004
02-2009-0490,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,BRUC,1,105,,,,,,,1,1,2.167117439,41.39599965
02-2009-0742,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,VILLARROEL,1,163,,,,,,,1,1,2.153180164,41.38777537
01-2009-0354,CIUTAT VELLA,el Raval,CARRER,SANT JOSEP ORIOL,1,19,,,,,,,1,1,2.17017347,41.37844873
06-2009-0215,GRACIA,el Camp d'en Grassot i Gràcia Nova,CARRER,HIPOLIT LAZARO,1,25,,,,,,,1,1,2.164034923,41.4069041
07-2009-0126,HORTA-GUINARDÓ,el Baix Guinardó,CARRER,LLORENS I BARBA,1,25,,27,,,,,6,3,2.169808316,41.41163003
03-2009-0257,SANTS-MONTJUÏC,Sants,RAMBLA,BADAL,2,148,,,,,,,AT,1,2.131557856,41.37308247
02-2009-0491,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,BRUC,1,129,,,,,,,5,2,2.165601293,41.39714698
06-2009-0170,GRACIA,el Camp d'en Grassot i Gràcia Nova,PASSATGE,ALIO,2,12,,,,,,,1,2,2.166448807,41.40271944
03-2009-0162,SANTS-MONTJUÏC,Sants,PASSEIG,SANT ANTONI,2,30,,,,,,,8,3,2.137886611,41.37717022
03-2009-0163,SANTS-MONTJUÏC,Sants,PASSEIG,SANT ANTONI,2,30,,,,,,,9,1,2.137886611,41.37717022
03-2009-0164,SANTS-MONTJUÏC,Sants,PASSEIG,SANT ANTONI,2,30,,,,,,,9,2,2.137886611,41.37717022
03-2009-0165,SANTS-MONTJUÏC,Sants,PASSEIG,SANT ANTONI,2,30,,,,,,,1,3,2.137886611,41.37717022
03-2009-0166,SANTS-MONTJUÏC,Sants,PASSEIG,SANT ANTONI,2,30,,,,,,,1,2,2.137886611,41.37717022
03-2009-0167,SANTS-MONTJUÏC,Sants,PASSEIG,SANT ANTONI,2,30,,,,,,,6,3,2.137886611,41.37717022
03-2009-0168,SANTS-MONTJUÏC,Sants,PASSEIG,SANT ANTONI,2,30,,,,,,,4,3,2.137886611,41.37717022
03-2009-0161,SANTS-MONTJUÏC,Sants,PASSEIG,SANT ANTONI,2,30,,,,,,,1,1,2.137886611,41.37717022
06-2009-0190,GRACIA,la Vila de Gràcia,CARRER,BRUNIQUER,1,51,,,,,,,3,2,2.161884851,41.40547429
02-2009-0525,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,VALENCIA,2,366,,,,,,,2,3,2.170564036,41.39801108
10-2009-0111,SANT MARTI,el Parc i la Llacuna del Poblenou,CARRER,ROGER DE FLOR,2,24,,,,,,,5,,2.183249083,41.39090141
10-2009-0359,SANT MARTI,el Poblenou,RAMBLA,POBLENOU,1,47,,,,,,,4,2,2.202417471,41.40004913
10-2009-0360,SANT MARTI,el Poblenou,RAMBLA,POBLENOU,1,47,,,,,,,4,1,2.202417471,41.40004913
07-2009-0121,HORTA-GUINARDÓ,el Baix Guinardó,CARRER,MARINA,1,331,,,,,,,6,1,2.169581381,41.40806325
06-2009-0224,GRACIA,la Vila de Gràcia,CARRER,BADIA,2,8,,,,,,,BJ,1,2.154039282,41.40363718
02-2009-0400,L'EIXAMPLE,Sant Antoni,CARRER,CALABRIA,1,69,,,,,,,PR,2,2.156937047,41.37811154
04-2010-0201,LES CORTS,les Corts,CARRER,JOAN GUELL,1,169,,,,,,,4,2,2.131025036,41.38352989
10-2009-0196,SANT MARTI,el Poblenou,PASSATGE,AYMA,1,5,,,,,,,1,2,2.204355329,41.39773886
03-2009-0197,SANTS-MONTJUÏC,Hostafrancs,CARRER,LEIVA,2,28,,,,,,,BJ,1,2.14309529,41.37372123
03-2009-0200,SANTS-MONTJUÏC,el Poble Sec,CARRER,VILA I VILA,1,53,,,,,,,5,2,2.170531376,41.37359289
02-2009-0416,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,ROGER DE FLOR,2,148,,,,,,D,3,2,2.175059728,41.39710858
02-2009-0677,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,ROSSELLO,2,258,,,,,,,PR,1,2.162390339,41.39699168
06-2009-0168,GRACIA,el Camp d'en Grassot i Gràcia Nova,PASSATGE,ALIO,2,12,,,,,,,1,1,2.166448807,41.40271944
02-2009-0363,L'EIXAMPLE,la Dreta de l'Eixample,PASSEIG,GRACIA,2,16,,,,,,,2,1,2.168934533,41.38933184
10-2009-0205,SANT MARTI,Provençals del Poblenou,CARRER,FLUVIA,1,145,,,,,,,1,1,2.202171383,41.41046378
10-2009-0206,SANT MARTI,Provençals del Poblenou,CARRER,FLUVIA,1,145,,,,,,,1,2,2.202171383,41.41046378
10-2009-0207,SANT MARTI,Provençals del Poblenou,CARRER,FLUVIA,1,145,,,,,,,2,,2.202171383,41.41046378
02-2009-0433,L'EIXAMPLE,la Sagrada Família,PASSATGE,MAIOL,1,5,,,,,,,1,B,2.174552138,41.40169223
03-2009-0169,SANTS-MONTJUÏC,Sants,PASSEIG,SANT ANTONI,2,30,,,,,,,2,3,2.137886611,41.37717022
03-2009-0170,SANTS-MONTJUÏC,Sants,PASSEIG,SANT ANTONI,2,30,,,,,,,6,1,2.137886611,41.37717022
03-2009-0171,SANTS-MONTJUÏC,Sants,PASSEIG,SANT ANTONI,2,30,,,,,,,2,1,2.137886611,41.37717022
03-2009-0172,SANTS-MONTJUÏC,Sants,PASSEIG,SANT ANTONI,2,30,,,,,,,4,1,2.137886611,41.37717022
03-2009-0173,SANTS-MONTJUÏC,Sants,PASSEIG,SANT ANTONI,2,30,,,,,,,6,4,2.137886611,41.37717022
03-2009-0174,SANTS-MONTJUÏC,Sants,PASSEIG,SANT ANTONI,2,30,,,,,,,4,4,2.137886611,41.37717022
02-2009-0651,L'EIXAMPLE,la Dreta de l'Eixample,PASSEIG,GRACIA,1,83,,,,,,,2,2,2.161740552,41.39430074
02-2009-0652,L'EIXAMPLE,la Dreta de l'Eixample,PASSEIG,GRACIA,1,83,,,,,,,2,3,2.161740552,41.39430074
02-2009-0653,L'EIXAMPLE,la Dreta de l'Eixample,PASSEIG,GRACIA,1,83,,,,,,,4,1,2.161740552,41.39430074
02-2009-0654,L'EIXAMPLE,la Dreta de l'Eixample,PASSEIG,GRACIA,1,83,,,,,,,4,2,2.161740552,41.39430074
