N_EXPEDIENT,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA
01-2018-0351,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,ARGENTERIA,1,21,,,,,,,4,
01-2018-0513,01,CIUTAT VELLA,01,el Raval,Carrer,MONTSERRAT,1,5,,,,,,,BJ,1
01-2018-0514,01,CIUTAT VELLA,01,el Raval,Carrer,MONTSERRAT,1,5,,,,,,,3,1
01-2019-0129,01,CIUTAT VELLA,01,el Raval,Carrer,CARME,1,11,,,,,,,3,1
01-2020-0032,01,CIUTAT VELLA,03,la Barceloneta,Carrer,BERENGUER MALLOL,1,19,,,,,,,2,
01-2021-0185,01,CIUTAT VELLA,03,la Barceloneta,Carrer,PAREDES,1,3,,,,,,,2,
01-2022-0090,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,CONSELLERS,2,2,,,,,,,1,1
01-2022-0098,01,CIUTAT VELLA,03,la Barceloneta,Carrer,VILA JOIOSA,2,14,,,,,,,4,1
01-2022-0104,01,CIUTAT VELLA,03,la Barceloneta,Carrer,PESCADORS,2,20,,,,,,,1,
01-2022-0114,01,CIUTAT VELLA,03,la Barceloneta,Carrer,SANT MIQUEL,2,88,,,,,,,3,3
01-2022-0120,01,CIUTAT VELLA,03,la Barceloneta,Carrer,PONTEVEDRA,1,33,,,,,,,1,1
01-2022-0123,01,CIUTAT VELLA,03,la Barceloneta,Carrer,PONTEVEDRA,1,33,,,,,,,2,1
01-2022-0125,01,CIUTAT VELLA,03,la Barceloneta,Carrer,ATLANTIDA,2,60,,,,,,,BJ,2
01-2022-0126,01,CIUTAT VELLA,03,la Barceloneta,Carrer,ATLANTIDA,2,60,,,,,,,1,1
01-2022-0367,01,CIUTAT VELLA,01,el Raval,Carrer,EST,1,19,,,,,,,2,1
01-2022-0440,01,CIUTAT VELLA,01,el Raval,Carrer,EST,1,19,,,,,,,BJ,2
01-2023-0011,01,CIUTAT VELLA,01,el Raval,Carrer,TIGRE,2,10,,,,,,,4,2
01-2023-0172,01,CIUTAT VELLA,01,el Raval,Carrer,SANT PAU,1,47,,,,,,,4,2
