CODI_EIXOS,M_CODI_EIXOS,BCN1,BCN2,BCN3,NOM,CARRCADAST,DOORNUM,CBARRI,NBARRI,CDISTRI,NDISTRIC,RCNUMBER,DATAINICI,ULTIMA_VISITA,X,Y,X_ED50,Y_ED50
tall,tran,SERVEIS,SERVEIS,"REPARACIONS (ELECTRODOMÈSTICS I AUTOMÒBILS)","AV Electromecánica Taller Coches","CL ROGER DE FLOR",218,07,"la Dreta de l Eixample",02,Eixample,0837725DF3803F,2011-08-25,12/02/2014,430821,4583696,"430821,1","4583696,6"
ardep,pers,"COMERÇ AL DETALL","OCI I CULTURA","JOGUINES I ESPORTS**","Rayco Suministros","CL ROGER DE FLOR",220,07,"la Dreta de l Eixample",02,Eixample,0837729DF3803F,2013-11-09,12/02/2014,430821,4583706,"430821,1","4583706,6"
estanc,altr,"COMERÇ AL DETALL","QUOTIDIÀ ALIMENTARI","TABAC I ARTICLES FUMADORS",Tiendaecig,"CL ROGER DE FLOR",220,07,"la Dreta de l Eixample",02,Eixample,0837729DF3803F,2013-11-09,12/02/2014,430821,4583706,"430821,1","4583706,6"
bar,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Bar Bocata","CL ROGER DE FLOR",220,07,"la Dreta de l Eixample",02,Eixample,0837729DF3803F,2011-08-25,12/02/2014,430818,4583700,"430818,8",4583700
locu,serv,SERVEIS,SERVEIS,ALTRES,"Rosello Telecomunicacio Locutori","CL ROGER DE FLOR",221,32,"el Camp d en Grassot i Gràcia Nova",06,Gràcia,0539116DF3803H,2011-08-25,12/02/2014,430577,4583900,"430577,7",4583900
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local Buit","CL ROGER DE FLOR",221,32,"el Camp d en Grassot i Gràcia Nova",06,Gràcia,0539116DF3803H,2011-08-25,12/02/2014,430577,4583909,"430577,7","4583909,9"
cons,serv,SERVEIS,SERVEIS,"SANITAT I ASSISTÈNCIA","Slobal Centre de Fisioterapia I Acupuntura","CL ROGER DE FLOR",222,07,"la Dreta de l Eixample",02,Eixample,0838105DF3803H,2011-08-25,12/02/2014,430757,4583762,"430757,7","4583762,2"
cafe,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Nebraska Bar Cafeteria","CL ROGER DE FLOR",222,07,"la Dreta de l Eixample",02,Eixample,0838105DF3803H,2011-08-25,12/02/2014,430762,4583758,"430762,2","4583758,8"
viat,serv,SERVEIS,SERVEIS,ALTRES,"Aspasia Travel Agencia de viatges","CL ROGER DE FLOR",222,07,"la Dreta de l Eixample",02,Eixample,0838105DF3803H,2011-08-25,12/02/2014,430768,4583750,"430768,8",4583750
forn,quot,"COMERÇ AL DETALL","QUOTIDIÀ ALIMENTARI","PA, PASTISSERIA I LÀCTICS","Forn Jovic","CL ROGER DE FLOR",226,07,"la Dreta de l Eixample",02,Eixample,0739124DF3803H,2011-08-25,12/02/2014,430686,4583836,"430686,6","4583836,6"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local Buit","CL ROGER DE FLOR",226,07,"la Dreta de l Eixample",02,Eixample,0739124DF3803H,2011-08-25,12/02/2014,430694,4583835,"430694,4","4583835,5"
fruit,quot,"COMERÇ AL DETALL","QUOTIDIÀ ALIMENTARI","FRUITES I VERDURES","Cuevas Fruits","CL ROGER DE FLOR",228,07,"la Dreta de l Eixample",02,Eixample,0739125DF3803H,2011-08-25,12/02/2014,430677,4583846,"430677,7","4583846,6"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local Buit","CL ROGER DE FLOR",228,07,"la Dreta de l Eixample",02,Eixample,0739125DF3803H,2011-08-25,12/02/2014,430681,4583841,"430681,1","4583841,1"
espo,ALTRES,ALTRES,ALTRES,ALTRES,"PARC LA CREUETA DEL COLL (LLAC)","Castellterþol / Pg. Mare de DÚu del Coll",89,29,"el Coll",06,Gràcia,,2013-04-16,16/04/2013,42892876156635,45858654847379,"428928,876","4585865,548"
espo,ALTRES,ALTRES,ALTRES,ALTRES,"PISTES MUNICIPALS DE PETANCA LA CÈNIA",Castillejos,180,05,"el Fort Pienc",02,Eixample,,2013-04-16,16/04/2013,43174088997481,4583903426431,"431740,088","4583903,342"
masco,serv,SERVEIS,SERVEIS,ALTRES,"Consultori Veterinari Ramón Vilaret","CL ROGER DE FLOR",230,07,"la Dreta de l Eixample",02,Eixample,0739126DF3803H,2011-08-25,12/02/2014,430668,4583854,"430668,8","4583854,4"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local Buit","CL ROGER DE FLOR",230,07,"la Dreta de l Eixample",02,Eixample,0739126DF3803H,2011-08-25,12/02/2014,430673,4583850,"430673,3",4583850
pelu,serv,SERVEIS,SERVEIS,ALTRES,"Perruqueria Dones Ina","CL ROGER DE FLOR",231,32,"el Camp d en Grassot i Gràcia Nova",06,Gràcia,0539113DF3803H,2011-08-25,12/02/2014,430555,4583935,"430555,5","4583935,5"
