"ID_BCN","ID_PRINCIP","N_PRINCIP","ID_SECTOR","N_SECTOR","ID_GRUPACT","N_GRUPACT","ID_ACT","N_ACT","N_LOCAL","SN_CARRER","SN_MERCAT","ID_MERCAT","N_MERCAT","SN_GALERIA","N_GALERIA","SN_CCOMERC","ID_CCOMERC","N_CCOMERC","N_CARRER","NUM_POLICI","REF_CAD","DATA","Codi_Barri","Nom_Barri","Codi_Districte","N_DISTRI","N_EIX","SN_EIX","SEC_CENS","Y_UTM_ETRS","X_UTM_ETRS","LATITUD","LONGITUD"
61307,1,"Actiu",1,"Comerç al detall",1,"Quotidià alimentari",1006,"Pa, pastisseria i làctics","SATATOI",1,0,0," ",0," ",0,"0"," ","TAJO",60,"9970108DF2897B",2016-10-13,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7118,4586810.386,429812.188,41.429793,2.159963
61308,1,"Actiu",1,"Comerç al detall",4,"Equipament personal",4003,"Vestir","MODES MARSA",1,0,0," ",0," ",0,"0"," ","PERE PAU",21,"9970112DF2897B",2016-10-13,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7118,4586810.942,429773.578,41.429794,2.159501
61309,1,"Actiu",1,"Comerç al detall",2,"Quotidià no alimentari",2001,"Drogueria i perfumeria","CARLES CLOQUELL",1,0,0," ",0," ",0,"0"," ","PERE PAU",13,"9970109DF2897B",2016-10-13,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7118,4586811.098,429805.205,41.429798,2.159879
61310,1,"Actiu",2,"Serveis",16,"Altres",16001,"Activitats de transport i emmagatzematge","PRIVAT",1,0,0," ",0," ",0,"0"," ","SANT ALEXANDRE",11,"0369414DF3806G",2016-10-11,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7123,4586811.307,430231.243,41.429837,2.164978
61311,1,"Actiu",2,"Serveis",14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",14000,"Serveis de menjar i begudes","CAFES CARACAS",1,0,0," ",0," ",0,"0"," ","PERE PAU",21,"9970112DF2897B",2016-10-13,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7118,4586811.437,429778.781,41.429799,2.159563
61312,1,"Actiu",2,"Serveis",11,"Finances i assegurances",11000,"Finances i assegurances","BANC SABADELL",1,0,0," ",0," ",0,"0"," ","PERE PAU",15,"9970110DF2897B",2016-10-13,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7118,4586811.64,429793.02,41.429802,2.159733
61313,1,"Actiu",3,"Altres",17,"Altres",17001,"Administració","TORRE JUSSANA CENTRE DE SERVEIS A LES ASSOCIACIONS",1,0,0," ",0," ",0,"0"," ","AV CARDENAL VIDAL  BARRAQUER",30,"9370835DF2897A",2016-10-19,42,"la Clota",7,"Horta-Guinardó",,0,7102,4586811.642,429088.49,41.42974,2.151302
61314,1,"Actiu",1,"Comerç al detall",4,"Equipament personal",4003,"Vestir","MIOCA",1,0,0," ",0," ",0,"0"," ","PERE PAU",15,"9970110DF2897B",2016-10-13,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7118,4586811.713,429799.677,41.429804,2.159813
61315,1,"Actiu",1,"Comerç al detall",4,"Equipament personal",4003,"Vestir","LODIZ",1,0,0," ",0," ",0,"0"," ","PERE PAU",19,"9970111DF2897B",2016-10-13,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7118,4586811.838,429784.645,41.429803,2.159633
61316,1,"Actiu",2,"Serveis",14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",14000,"Serveis de menjar i begudes","BAR ROSA",1,0,0," ",0," ",0,"0"," ","CARTELLA",169,"0369421DF3806G",2016-10-05,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7123,4586812.139,430284.699,41.42985,2.165617
61317,1,"Actiu",1,"Comerç al detall",1,"Quotidià alimentari",1008,"Tabac i articles fumadors","TABACS EXP. NUM. 406",1,0,0," ",0," ",0,"0"," ","LISBOA",8,"9770707DF2897B",2016-10-13,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7118,4586812.598,429709.205,41.429804,2.15873
61318,1,"Actiu",2,"Serveis",16,"Altres",16001,"Activitats de transport i emmagatzematge","RESTAURANT LA BACARDINA",1,0,0," ",0," ",0,"0"," ","PL BACARDI",10,"0169619DF3806G",2016-10-05,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7122,4586812.937,430106.325,41.429841,2.163483
61319,1,"Actiu",3,"Altres",17,"Altres",17006,"Activitats de la construcció","PINTOR",1,0,0," ",0," ",0,"0"," ","DOMENECH I MONTANER",2,"8570412DF2887B",2016-10-18,40,"Montbau",7,"Horta-Guinardó",,0,7094,4586814.439,428378.414,41.429703,2.142804
61320,2,"Sense informació",4,"Sense informació",444,"-",444,"-","VIVENDA",1,0,0," ",0," ",0,"0"," ","FULTON",7,"0070121DF3807A",2016-10-17,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7117,4586814.918,429955.295,41.429846,2.161675
61321,1,"Actiu",2,"Serveis",15,"Sanitat i assistència",15000,"Sanitat i assistència","GRUP PROAVIS",1,0,0," ",0," ",0,"0"," ","NATZARET",119,"7776761DF2877F",2016-10-18,39,"Sant Genís dels Agudells",7,"Horta-Guinardó",,0,7091,4586815.039,427988.626,41.429673,2.13814
61322,1,"Actiu",1,"Comerç al detall",1,"Quotidià alimentari",1000,"Resta alimentació","GAIG VENTURA",1,0,0," ",0," ",0,"0"," ","TAJO",25,"0170806DF3807A",2016-10-05,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7123,4586815.131,430030.415,41.429854,2.162574
61323,1,"Actiu",1,"Comerç al detall",7,"Altres",7004,"Souvenirs i basars","EURO BASAR",1,0,0," ",0," ",0,"0"," ","BAIXADA DE LA POLANA",37,"9770708DF2897B",2016-10-13,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7118,4586815.257,429715.33,41.429828,2.158803
61324,1,"Actiu",2,"Serveis",16,"Altres",16001,"Activitats de transport i emmagatzematge","EMPRESA SN",1,0,0," ",0," ",0,"0"," ","CARTELLA",171,"0369420DF3806G",2016-10-05,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7123,4586816.078,430279.547,41.429885,2.165555
61325,1,"Actiu",2,"Serveis",16,"Altres",16001,"Activitats de transport i emmagatzematge","PRIVAT",1,0,0," ",0," ",0,"0"," ","BX MERCAT",7,"0070111DF3807A",2016-10-18,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7117,4586816.388,429880.388,41.429853,2.160778
